OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STFIPS,COFIPS,SECTOR,LEVEL,HI_OFFER,DEG_GRANT,LOCALE,CLOSE_DATE,MERGE_ID,ALIAS,SIZE_SET,INST_SIZE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,HOUSING,DORM_CAP,TOT_EMP,SHELTER_ID,x,y
44,485403,HIGH TECH HIGH GRADUATE SCHOOL OF EDUCATION,2861 WOMBLE ROAD,SAN DIEGO,CA,92106,NOT AVAILABLE,(619) 398-4902,2,A,147,SAN DIEGO,06073,USA,32.7349603930001,-117.217444933,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=485403,2/13/2018 12:00:00 AM,IMAGERY/OTHER,2/15/2018 12:00:00 AM,hthgse.edu/,06,073,2,1,20,1,11,-2,-2,NOT AVAILABLE,-2,1,46,30,76,2,-999,71,NOT AVAILABLE,-13048586.2820301,3860176.99827952
74,447607,UNITED EDUCATION INSTITUTE-CHULA VISTA,"1261 THIRD AVENUE, SUITE A",CHULA VISTA,CA,91911,3262,(619) 409-4111,3,A,1251,SAN DIEGO,06073,USA,32.6086195680001,-117.065379415,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://nces.ed.gov/collegenavigator/?id=447607,2/13/2018 12:00:00 AM,IMAGERY/OTHER,6/25/2022 12:00:00 AM,https://www.uei.edu/,06,073,9,3,0,2,11,-2,-2,NOT AVAILABLE,-2,2,-999,1176,1176,2,-999,75,NOT AVAILABLE,-13031658.4259992,3843469.23958803
81,468848,UNITED EDUCATION INSTITUTE-UEI COLLEGE SAN MARCOS,2085 MONTIEL ROAD,SAN MARCOS,CA,92069,3587,(760) 690-5200,3,A,776,SAN DIEGO,06073,USA,33.1314285720001,-117.118565978,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://nces.ed.gov/collegenavigator/?id=468848,2/13/2018 12:00:00 AM,IMAGERY/OTHER,2/15/2018 12:00:00 AM,https://www.uei.edu/,06,073,9,1,0,2,21,-2,-2,NOT AVAILABLE,-2,1,-999,719,719,2,-999,57,NOT AVAILABLE,-13037579.1271094,3912761.92981605
765,481535,SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,10901 NORTH TORREY PINES ROAD,LA JOLLA,CA,92037,1005,(858) 646-3100 EXT 5138,2,R,728,SAN DIEGO,06073,USA,32.9014270070001,-117.241701714,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=481535,8/10/2015 12:00:00 AM,IMAGERY/OTHER,9/2/2015 12:00:00 AM,https://www.sbpdiscovery.org/education/graduate-school,06,073,2,1,12,1,11,-2,-2,NOT AVAILABLE,26,1,-999,26,26,2,-999,702,NOT AVAILABLE,-13051286.5345393,3882227.3444026
979,444130,NORTHCENTRAL UNIVERSITY,11355 N. TORREY PINES ROAD,LA JOLLA,CA,92037,NOT AVAILABLE,(888) 327-2877,2,A,13097,SAN DIEGO,06073,USA,32.7366930000001,-117.214925,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=444130,10/13/2009 12:00:00 AM,IMAGERY/OTHER,3/7/2019 12:00:00 AM,www.ncu.edu/,06,073,2,1,12,1,11,-2,-2,NOT AVAILABLE,17,4,7503,4968,12471,2,-999,626,NOT AVAILABLE,-13048305.7643718,3860406.28877375
1066,110468,ALLIANT INTERNATIONAL UNIVERSITY-SAN DIEGO,10455 POMERADO ROAD,SAN DIEGO,CA,92131,NOT AVAILABLE,(866) 825-5426,3,A,4023,SAN DIEGO,06073,USA,32.8970564260001,-117.094398098,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=110468,10/13/2009 12:00:00 AM,IMAGERY,7/15/2016 12:00:00 AM,https://www.alliant.edu/,06,073,3,1,11,1,11,-2,-2,NOT AVAILABLE,17,2,1817,1612,3429,2,-999,594,NOT AVAILABLE,-13034888.7710142,3881647.88373635
1069,110680,UNIVERSITY OF CALIFORNIA-SAN DIEGO,9500 GILMAN DR,LA JOLLA,CA,92093,NOT AVAILABLE,(858) 534-2230,1,A,55842,SAN DIEGO,06073,USA,32.8765976550001,-117.237793479,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=110680,10/13/2009 12:00:00 AM,IMAGERY,7/15/2016 12:00:00 AM,www.ucsd.edu/,06,073,1,1,11,1,11,-2,-2,UCSD UC SAN DIEGO,15,5,1504,38072,39576,1,17598,16266,NOT AVAILABLE,-13050851.4718092,3878935.79763922
1085,115287,GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT,8800 GROSSMONT COLLEGE DR,EL CAJON,CA,92020,1799,(619) 644-7010,1,A,156,SAN DIEGO,06073,USA,32.8160537750001,-117.007291965,611710,EDUCATIONAL SUPPORT SERVICES,https://nces.ed.gov/collegenavigator/?id=115287,10/13/2009 12:00:00 AM,IMAGERY,7/15/2016 12:00:00 AM,www.gcccd.edu/,06,073,0,1,40,1,21,-2,-2,NOT AVAILABLE,-2,-2,-999,-999,-999,-2,-999,156,NOT AVAILABLE,-13025192.1606437,3870913.55370119
1357,121275,PLATT COLLEGE-SAN DIEGO,6250 EL CAJON BLVD,SAN DIEGO,CA,92115,3919,(619) 265-0107,3,A,136,SAN DIEGO,06073,USA,32.7637295690001,-117.063483045,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=121275,10/13/2009 12:00:00 AM,IMAGERY,7/18/2016 12:00:00 AM,www.platt.edu/,06,073,3,2,30,1,11,-2,-2,NOT AVAILABLE,30,1,-999,96,96,2,-999,40,NOT AVAILABLE,-13031447.3230564,3863984.84367716
1475,377722,BELLUS ACADEMY-POWAY,13266 POWAY RD,POWAY,CA,92064,NOT AVAILABLE,(858) 748-1490 EXT 0,3,A,483,SAN DIEGO,06073,USA,32.9571841270001,-117.042531219,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nces.ed.gov/collegenavigator/?id=377722,10/13/2009 12:00:00 AM,IMAGERY/OTHER,8/25/2015 12:00:00 AM,www.bellusacademy.edu/,06,073,6,2,0,2,13,-2,-2,BELLUS ACADEMY,-2,1,-999,424,424,2,-999,59,NOT AVAILABLE,-13029114.9764549,3889622.2503591
2032,434140,PIMA MEDICAL INSTITUTE-CHULA VISTA,780 BAY BLVD SUITE101,CHULA VISTA,CA,91910,NOT AVAILABLE,(619) 425-3200,3,A,820,SAN DIEGO,06073,USA,32.6191477950001,-117.093013618,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=434140,10/13/2009 12:00:00 AM,GEOCODE,7/13/2016 12:00:00 AM,pmi.edu/,06,073,6,2,40,1,11,-2,-2,NOT AVAILABLE,10,1,-999,737,737,2,-999,83,NOT AVAILABLE,-13034734.6514056,3844860.62806264
2093,447050,UNITED STATES UNIVERSITY,7675 MISSION VALLEY ROAD,SAN DIEGO,CA,92108,NOT AVAILABLE,(619) 876-4250,3,A,2286,SAN DIEGO,06073,USA,32.7769000000001,-117.154904,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=447050,10/13/2009 12:00:00 AM,IMAGERY/OTHER,4/5/2019 12:00:00 AM,https://www.usuniversity.edu/,06,073,3,1,20,1,11,-2,-2,USU,22,2,467,1514,1981,2,-999,305,NOT AVAILABLE,-13041624.2572148,3865728.47291394
2138,118912,MIRACOSTA COLLEGE,ONE BARNARD DRIVE,OCEANSIDE,CA,92056,3899,(760) 757-2121,1,A,13753,SAN DIEGO,06073,USA,33.190873853,-117.302032657,611210,JUNIOR COLLEGES,https://nces.ed.gov/collegenavigator/?id=118912,12/10/2009 12:00:00 AM,IMAGERY/OTHER,7/7/2016 12:00:00 AM,www.miracosta.edu/,06,073,1,1,30,1,21,-2,-2,NOT AVAILABLE,1,4,7971,4674,12645,2,-999,1108,10820593,-13058002.5443932,3920666.76699862
