NAME,ADDRESS,Zipcode,LATITUDE,LONGITUDE
HIGH TECH HIGH GRADUATE SCHOOL OF EDUCATION,2861 WOMBLE ROAD,92106,32.7349603930001,-117.217444933
SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,10901 NORTH TORREY PINES ROAD,92037,32.9014270070001,-117.241701714
NORTHCENTRAL UNIVERSITY,11355 N. TORREY PINES ROAD,92037,32.7366930000001,-117.214925
ALLIANT INTERNATIONAL UNIVERSITY-SAN DIEGO,10455 POMERADO ROAD,92131,32.8970564260001,-117.094398098
PLATT COLLEGE-SAN DIEGO,6250 EL CAJON BLVD,92115,32.7637295690001,-117.063483045
BELLUS ACADEMY-POWAY,13266 POWAY RD,92064,32.9571841270001,-117.042531219
UNITED STATES UNIVERSITY,7675 MISSION VALLEY ROAD,92108,32.7769000000001,-117.154904
NEWSCHOOL OF ARCHITECTURE AND DESIGN,1249 F ST,92101,32.7133096690001,-117.153305406
SAN DIEGO COMMUNITY COLLEGE DISTRICT-DISTRICT OFFICE,3375 CAMINO DEL RIO SOUTH,92108,32.7763004110001,-117.1204797
SAN DIEGO MESA COLLEGE,7250 MESA COLLEGE DR,92111,32.8048046710001,-117.169022544
THOMAS JEFFERSON SCHOOL OF LAW,701 B STREET - SUITE 110,92101,32.7179554730001,-117.15829375
CALIFORNIA WESTERN SCHOOL OF LAW,225 CEDAR ST,92101,32.721710892,-117.162591821
POWAY ADULT SCHOOL,13626 TWIN PEAKS ROAD,92064,32.978817,-117.035819
ASSOCIATED BARBER COLLEGE OF SAN DIEGO,1333 5TH AVENUE,92101,32.7193060770001,-117.160002748
CALIFORNIA BARBER AND BEAUTY COLLEGE,5315 EL CAJON BOULEVARD,92115,32.7572200000001,-117.081321
CALIFORNIA INTERNATIONAL BUSINESS UNIVERSITY,550 WEST B STREET,92101,32.7200689690001,-117.16766387
CALIFORNIA COLLEGE SAN DIEGO,6602 CONVOY COURT STE 100,92111,32.8349593200001,-117.167110985
ASHFORD UNIVERSITY,8620 SPECTRUM CENTER BOULEVARD,92123,32.8270890000001,-117.141277
DESIGN INSTITUTE OF SAN DIEGO,8555 COMMERCE AVE,92121,32.8809010000001,-117.167402
CALIFORNIA MIRAMAR UNIVERSITY,"3550 CAMINO DEL RIO NORTH, SUITE 208",92108,32.7794200000001,-117.11851
PACIFIC COLLEGE OF HEALTH AND SCIENCE,7445 MISSION VALLEY RD STE 105,92108,32.7783905360001,-117.160729915
PAUL MITCHELL THE SCHOOL-SAN DIEGO,410 A STREET,92101,32.719045356,-117.160779832
SAN DIEGO CITY COLLEGE,1313 PARK BOULEVARD,92101,32.7188552200001,-117.151641034
SAN DIEGO MIRAMAR COLLEGE,10440 BLACK MOUNTAIN RD,92126,32.909545947,-117.120887747
SAN DIEGO STATE UNIVERSITY,5500 CAMPANILE DR,92182,32.7752498,-117.071227857
UNIVERSITY OF SAN DIEGO,5998 ALCALA PARK,92110,32.7714202510001,-117.188720861
NATIONAL UNIVERSITY,11255 NORTH TORREY PINES ROAD,92037,32.909894364,-117.24302561
POINT LOMA NAZARENE UNIVERSITY,3900 LOMALAND DR,92106,32.7168713180001,-117.250211265
BETHEL SEMINARY-SAN DIEGO,6116 AROSA ST,92115,32.765386865,-117.066050002
ASSOCIATED TECHNICAL COLLEGE-SAN DIEGO,"2650 CAMINO DEL RIO NORTH, STE. 100",92108,32.715460025,-117.15819587
CET-SAN DIEGO,4153 MARKET STREET,92102,32.711239,-117.105459
CONCORDE CAREER COLLEGE-SAN DIEGO,"4393 IMPERIAL AVENUE, SUITE 100",92113,32.702776837,-117.102897882
SOUTHERN STATES UNIVERSITY,"1094 CUHADY PLACE, #120",92110,32.7676616410001,-117.201535379
CALIFORNIA INSTITUTE OF ARTS & TECHNOLOGY,2820 CAMINO DEL RIO SOUTH SUITE 100,92108,32.770804884,-117.13413325
THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT SAN DIEGO,401 W. A STREET AT 1 COLUMBIA PLACE,92101,32.7183175000001,-117.167066625
ICOHS COLLEGE,1770 4TH AVENUE,92101,32.7211836160001,-117.166850071
SAN DIEGO GLOBAL KNOWLEDGE UNIVERSITY,"1095 K STREET, SUITE B",92101,32.708222,-117.154966
GLENDALE CAREER COLLEGE-BRIGHTWOOD TEACHOUT,8888 BALBOA AVENUE,92123,32.8220450000001,-117.136429
CALIFORNIA INTERNATIONAL BUSINESS UNIVERSITY,550 WEST B STREET,92101,32.718090304,-117.168074854
SAN DIEGO GLOBAL KNOWLEDGE UNIVERSITY,"1095 K STREET, SUITE B",92101,32.7082568340001,-117.15517246
COLUMBIA COLLEGE - NAVAL BASE SAN DIEGO,"3975 NORMAN SCOTT ROAD BUILDING 3280, ROOM B103",92136,32.6842612290001,-117.115109337
GLENDALE CAREER COLLEGE-BRIGHTWOOD TEACHOUT,8888 BALBOA AVENUE,92123,32.8220262200001,-117.136424161
FRANCISCAN SCHOOL OF THEOLOGY - SAN DIEGO,5998 ALCALA PARK,92110,32.7718882290001,-117.191672761
