X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
-117.24287107,32.8968589,553,0040992037,SCRIPPS GREEN HOSPITAL,10666 N TORREY PINES RD,LA JOLLA,CA,92037,1027,(858) 455-9100,GENERAL ACUTE CARE,OPEN,173,SAN DIEGO,06073,USA,32.8968589,-117.24287107,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,NOT AVAILABLE,080000022,SCRIPPS HEALTH,06,NON-PROFIT,-999,173,NOT AVAILABLE,N
-117.15130103,32.7979585300001,554,0036992123,RADY CHILDREN'S HOSPITAL - SAN DIEGO,3020 CHILDRENS WAY,SAN DIEGO,CA,92123,4223,(858) 966-3001,CHILDREN,OPEN,444,SAN DIEGO,06073,USA,32.79795853,-117.15130103,622110,"CHILDREN'S HOSPITALS, GENERAL",https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000023,RADY CHILDREN'S HOSPITAL - SAN DIEGO,06,NON-PROFIT,-999,444,LEVEL I PEDIATRIC,Y
-117.15447284,32.7992843500001,555,0042492123,SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,CA,92123,2701,(858) 939-3400,GENERAL ACUTE CARE,OPEN,656,SAN DIEGO,06073,USA,32.79928435,-117.15447284,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000036,SHARP MEMORIAL HOSPITAL,06,NON-PROFIT,-999,656,LEVEL II,Y
-117.00678153,32.7805704400001,556,0015591942,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DR,LA MESA,CA,91942,3019,(619) 740-5344,GENERAL ACUTE CARE,OPEN,466,SAN DIEGO,06073,USA,32.78057044,-117.00678153,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000045,GROSSMONT HOSPITAL CORPORATION,06,NON-PROFIT,-999,466,NOT AVAILABLE,Y
-117.09515955,32.7915625800001,557,0020092120,KAISER FOUNDATION HOSPITAL - ZION,4647 ZION AVE,SAN DIEGO,CA,92120,2507,(619) 528-6295,GENERAL ACUTE CARE,OPEN,368,SAN DIEGO,06073,USA,32.79156258,-117.09515955,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000144,KAISER FOUNDATION HOSPITALS,06,NON-PROFIT,-999,368,NOT AVAILABLE,N
-117.22546021,32.88518451,559,0041192037,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,9888 GENESEE AVE,LA JOLLA,CA,92037,1205,(858) 626-7600,GENERAL ACUTE CARE,OPEN,426,SAN DIEGO,06073,USA,32.88518451,-117.22546021,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,NOT AVAILABLE,080000149,SCRIPPS HEALTH,06,NON-PROFIT,-999,426,LEVEL II,Y
-117.28418338,33.0373447800001,560,0041092024,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DR,ENCINITAS,CA,92024,5142,(760) 633-7424,GENERAL ACUTE CARE,OPEN,187,SAN DIEGO,06073,USA,33.03734478,-117.28418338,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,NOT AVAILABLE,080000150,SCRIPPS HEALTH,06,NON-PROFIT,-999,187,LEVEL II,Y
-117.29026731,33.1856204000001,561,0050092056,TRI - CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,92056,4506,(760) 940-3415,GENERAL ACUTE CARE,OPEN,368,SAN DIEGO,06073,USA,33.1856204,-117.29026731,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000152,TRI - CITY HOSPITAL DISTRICT,06,GOVERNMENT - DISTRICT/AUTHORITY,-999,368,NOT AVAILABLE,Y
-117.04416179,32.7746316700001,562,0001591942,ALVARADO PARKWAY INSTITUTE BEHAVIORAL HEALTH SYSTEM,7050 PARKWAY DR,LA MESA,CA,91942,1535,(619) 465-4411,PSYCHIATRIC,OPEN,66,SAN DIEGO,06073,USA,32.77463167,-117.04416179,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000156,BH - SD OPCO LLC,06,PROPRIETARY,-999,66,NOT AVAILABLE,N
-117.2904359,33.1856484,563,0196784348,TRI - CITY MEDICAL CENTER D/P APH,4002 VISTA WAY,OCEANSIDE,CA,92056,4506,(760) 724-8411,PSYCHIATRIC,OPEN,18,SAN DIEGO,06073,USA,33.1856484,-117.2904359,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2022/02/28 00:00:00+00,NOT AVAILABLE,080000387,TRI - CITY HOSPITAL DISTRICT,06,GOVERNMENT - DISTRICT/AUTHORITY,-999,18,NOT AVAILABLE,N
