,X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
1,-117.15130103,32.7979585300001,554,36992123,RADY CHILDREN'S HOSPITAL - SAN DIEGO,3020 CHILDRENS WAY,SAN DIEGO,CA,92123,4223,(858) 966-3001,CHILDREN,OPEN,444,SAN DIEGO,6073,USA,32.79795853,-117.15130103,622110,"CHILDREN'S HOSPITALS, GENERAL",https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000023,RADY CHILDREN'S HOSPITAL - SAN DIEGO,6,NON-PROFIT,-999,444,LEVEL I PEDIATRIC,Y
2,-117.15447284,32.7992843500001,555,42492123,SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,CA,92123,2701,(858) 939-3400,GENERAL ACUTE CARE,OPEN,656,SAN DIEGO,6073,USA,32.79928435,-117.15447284,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000036,SHARP MEMORIAL HOSPITAL,6,NON-PROFIT,-999,656,LEVEL II,Y
4,-117.09515955,32.7915625800001,557,20092120,KAISER FOUNDATION HOSPITAL - ZION,4647 ZION AVE,SAN DIEGO,CA,92120,2507,(619) 528-6295,GENERAL ACUTE CARE,OPEN,368,SAN DIEGO,6073,USA,32.79156258,-117.09515955,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000144,KAISER FOUNDATION HOSPITALS,6,NON-PROFIT,-999,368,NOT AVAILABLE,N
11,-117.07531757,32.99118313,565,2692128,AURORA SAN DIEGO,11878 AVENUE OF INDUSTRY,SAN DIEGO,CA,92128,3423,(858) 487-3200,PSYCHIATRIC,OPEN,101,SAN DIEGO,6073,USA,32.99118313,-117.07531757,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000665,"AURORA SAN DIEGO, LLC",6,PROPRIETARY,-999,101,NOT AVAILABLE,N
12,-117.15447621,32.80601161,566,42392111,SHARP MCDONALD CENTER,7989 LINDA VISTA RD,SAN DIEGO,CA,92111,5106,(858) 576-1200,REHABILITATION,OPEN,16,SAN DIEGO,6073,USA,32.80601161,-117.15447621,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080000705,SHARP MEMORIAL HOSPITAL,6,NON-PROFIT,-999,16,NOT AVAILABLE,N
15,-117.15497782,32.79829578,569,42292123,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,3003 HEALTH CENTER DR,SAN DIEGO,CA,92123,2700,(858) 939-3400,GENERAL ACUTE CARE,OPEN,206,SAN DIEGO,6073,USA,32.79829578,-117.15497782,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,080001470,SHARP MEMORIAL HOSPITAL,6,NON-PROFIT,-999,206,NOT AVAILABLE,Y
16,-117.0570646,32.77658639,570,1392120,ALVARADO HOSPITAL MEDICAL CENTER,6655 ALVARADO RD,SAN DIEGO,CA,92120,5208,(619) 229-3172,GENERAL ACUTE CARE,OPEN,222,SAN DIEGO,6073,USA,32.77658639,-117.0570646,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,090000013,"ALVARADO HOSPITAL, LLC",6,PROPRIETARY,-999,222,NOT AVAILABLE,N
19,-117.16005359,32.7514306200001,573,41292103,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,2105,(619) 260-7101,GENERAL ACUTE CARE,OPEN,446,SAN DIEGO,6073,USA,32.75143062,-117.16005359,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,NOT AVAILABLE,090000025,SCRIPPS HEALTH,6,NON-PROFIT,-999,446,LEVEL I,Y
21,-117.1446454,32.75638366,576,23292104,KINDRED HOSPITAL - SAN DIEGO,1940 EL CAJON BLVD,SAN DIEGO,CA,92104,1005,(619) 543-4500,GENERAL ACUTE CARE,OPEN,70,SAN DIEGO,6073,USA,32.75638366,-117.1446454,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,090000048,"THC - ORANGE COUNTY, LLC",6,PROPRIETARY,-999,70,NOT AVAILABLE,N
23,-117.16573138,32.7547702300001,579,51092103,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,200 W ARBOR DR,SAN DIEGO,CA,92103,1911,(619) 543-6475,GENERAL ACUTE CARE,OPEN,381,SAN DIEGO,6073,USA,32.75477023,-117.16573138,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.chhs.ca.gov/dataset/3b5b80e8-6b8d-4715-b3c0-2699af6e72e5/resource/098bbc36-044d-441f-9442-1f4db4d8aaa0/download/healthcare_facility_locations.xlsx,2021/10/01 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,NOT AVAILABLE,090000154,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA - UCSD,6,GOVERNMENT - STATE,-999,381,LEVEL I,Y
