,ZipCode,TotalkWh,#Hospitals,#Schools,#Stops,#Colleges
0,92014,71579.0,,,20.0,
1,92037,172642.53333333333,,,14.0,3.0
2,92064,595894.5333333333,,,,2.0
3,92065,186478.1,,,19.0,
4,92101,716867.0,,9.0,2.0,12.0
5,92102,194981.76666666663,,19.0,,1.0
6,92103,135979.9,5.0,6.0,,
7,92104,135367.13333333333,1.0,4.0,,
8,92105,100416.16666666669,1.0,17.0,,
9,92106,50705.833333333336,,12.0,,2.0
10,92107,99074.56666666668,,4.0,,
11,92108,780215.1333333333,,1.0,,6.0
12,92109,169911.73333333334,,6.0,,
13,92110,95077.2,1.0,7.0,3.0,4.0
14,92111,528618.1,1.0,26.0,,2.0
15,92113,58568.433333333334,,16.0,,1.0
16,92114,80096.4,,14.0,,
17,92115,557186.4333333333,,14.0,,3.0
18,92116,91279.3,,5.0,,
19,92117,158608.03333333333,,18.0,,
20,92119,55654.46666666667,,4.0,,
21,92120,110606.43333333332,3.0,7.0,,
22,92121,185483.93333333332,,2.0,9.0,1.0
23,92122,236602.4,,7.0,7.0,
24,92123,647710.3,7.0,12.0,,3.0
25,92124,73050.03333333334,,8.0,,
26,92126,526693.8666666667,,11.0,,1.0
27,92127,200999.2,,9.0,,
28,92128,438862.26666666666,1.0,6.0,,
29,92129,104541.66666666669,,12.0,,
30,92130,564681.3666666667,,14.0,,
31,92131,270080.3333333333,,9.0,,1.0
32,92139,41947.26666666667,,7.0,,
33,92154,1032076.7,,20.0,,
34,92173,150856.63333333333,,,,
