X,Y,OBJECTID,ntd_id,stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_code,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,agency_id,download_date
-117.235533,32.876949,67656,90030,10374,Gilman Dr & Myers Dr,,32.876949,-117.235533,,,10374.0,0,,,,,,,01-13-2024
-117.223248,32.870592,67657,90030,10391,La Jolla Village Dr & Lebon Dr,,32.870592,-117.223248,,,10391.0,0,,,,,,,01-13-2024
-117.217861,32.8714650000001,67658,90030,10400,La Jolla Village Dr & Regents Rd,,32.871465,-117.217861,,,10400.0,0,,,,,,,01-13-2024
-117.235829,32.8771830000001,67659,90030,10772,Gilman Dr & Myers Dr,,32.877183,-117.235829,,,10772.0,0,,,,,,,01-13-2024
-117.218669,32.8715030000001,67660,90030,10793,La Jolla Village Dr & Regents Rd,,32.871503,-117.218669,,,10793.0,0,,,,,,,01-13-2024
-117.225289,32.868525,67661,90030,11151,Nobel Dr & Lebon Dr,,32.868525,-117.225289,,,11151.0,0,,,,,,,01-13-2024
-117.243837,32.8874750000001,67662,90030,11538,N Torrey Pines Rd & Torrey Pines Scenic Dr,,32.887475,-117.243837,,,11538.0,0,,,,,,,01-13-2024
-117.24399,32.906751,67663,90030,11539,N Torrey Pines Rd & Torrey Pines Golf Course,,32.906751,-117.24399,,,11539.0,0,,,,,,,01-13-2024
-117.242815,32.9014240000001,67664,90030,11541,N Torrey Pines Rd & Science Park Rd,,32.901424,-117.242815,,,11541.0,0,,,,,,,01-13-2024
-117.23921,32.8757810000001,67665,90030,11548,Gilman Dr & Eucalyptus Grove Ln,,32.875781,-117.23921,,,11548.0,0,,,,,,,01-13-2024
-117.244028,32.8804650000001,67666,90030,11875,N Torrey Pines Rd & Almahurst Row,,32.880465,-117.244028,,,11875.0,0,,,,,,,01-13-2024
-117.243796,32.8749010000001,67667,90030,11876,N Torrey Pines Rd & La Jolla Shores Dr,,32.874901,-117.243796,,,11876.0,0,,,,,,,01-13-2024
-117.243958,32.8857860000001,67668,90030,11877,N Torrey Pines Rd & Salk Institute Rd,,32.885786,-117.243958,,,11877.0,0,,,,,,,01-13-2024
-117.24126,32.894078,67669,90030,11882,N Torrey Pines Rd & Scripps Clinic Drwy,,32.894078,-117.24126,,,11882.0,0,,,,,,,01-13-2024
