OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,LEVEL,ENROLLMENT,ST_GRADE,END_GRADE,DISTRICTID,FT_TEACHER,SHELTER_ID,x,y
313,061288013863,QUANTUM ACADEMY,420 N. FALCONER RD.,ESCONDIDO,CA,92027,5331,(760) 432-2220,1,1,323,SAN DIEGO,06073,USA,33.143766618,-117.034969575,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=061288013863,10/23/2018 12:00:00 AM,IMAGERY/OTHER,10/24/2018 12:00:00 AM,http://www.eusd.org,HIGH,308,04,08,0612880,15,NOT AVAILABLE,-13028273.2180953,3914402.16185789
315,061350013914,MAIE ELLIS ELEMENTARY,400 W. ELDER ST.,FALLBROOK,CA,92028,2108,(760) 731-4132,4,1,519,SAN DIEGO,06073,USA,33.379912576,-117.254803463,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=061350013914,10/23/2018 12:00:00 AM,IMAGERY/OTHER,10/24/2018 12:00:00 AM,http://mee.fuesd.org/,ELEMENTARY,496,KG,06,0613500,23,NOT AVAILABLE,-13052745.0145665,3945840.25838152
316,061623013915,IDEA CENTER,1600 N. CUYAMACA ST.,EL CAJON,CA,92020,1187,(619) 956-4332,4,1,213,SAN DIEGO,06073,USA,32.8174227980001,-116.980756629,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=061623013915,10/23/2018 12:00:00 AM,IMAGERY/OTHER,10/24/2018 12:00:00 AM,http://idea.guhsd.net,MIDDLE,197,09,12,0616230,16,NOT AVAILABLE,-13022238.2605521,3871094.89286778
324,060747000706,ADA W. HARRIS ELEMENTARY,1508 WINDSOR RD.,CARDIFF-BY-THE-SEA,CA,92007,1356,(760) 632-5894,1,1,393,SAN DIEGO,06073,USA,33.0314692060001,-117.273908749,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060747000706,12/10/2009 12:00:00 AM,IMAGERY/OTHER,2/23/2016 12:00:00 AM,NOT AVAILABLE,ELEMENTARY,375,03,06,0607470,18,NOT AVAILABLE,-13054871.8052755,3899481.71947372
458,063432005557,SUNSET VIEW ELEMENTARY,4365 HILL ST.,SAN DIEGO,CA,92107,4199,(619) 223-7156,1,1,434,SAN DIEGO,06073,USA,32.723805579,-117.250857295,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005557,12/10/2009 12:00:00 AM,IMAGERY/OTHER,2/23/2016 12:00:00 AM,http://www.sunsetviewelementary.com,MIDDLE,416,KG,04,0634320,18,10814520,-13052305.7291542,3858700.89439051
460,063432012534,IHIGH VIRTUAL ACADEMY,3939 CONDE ST.,SAN DIEGO,CA,92110,3012,(619) 764-5440,4,1,46,SAN DIEGO,06073,USA,32.7508325900001,-117.194697082,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432012534,9/30/2011 12:00:00 AM,IMAGERY/OTHER,9/30/2011 12:00:00 AM,http://www.sandi.net/ihigh,MIDDLE,39,09,12,0634320,7,NOT AVAILABLE,-13046054.0028402,3862277.66661127
1392,063864006479,CHULA VISTA SENIOR HIGH,820 FOURTH AVE.,CHULA VISTA,CA,91911,1102,(619) 476-5824,1,1,2373,SAN DIEGO,06073,USA,32.621600335,-117.078287316,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063864006479,12/10/2009 12:00:00 AM,IMAGERY,2/18/2019 12:00:00 AM,NOT AVAILABLE,OTHER,2271,09,12,0638640,102,10777770,-13033095.3269657,3845184.77411932
1416,062825004360,EL CAMINO HIGH,400 RANCHO DEL ORO DR.,OCEANSIDE,CA,92057,8316,(760) 901-8000,1,1,2938,SAN DIEGO,06073,USA,33.2187141150001,-117.317336931,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=062825004360,12/10/2009 12:00:00 AM,IMAGERY,2/21/2019 12:00:00 AM,http://echs.oside.us/,HIGH,2827,09,12,0628250,111,10820579,-13059706.2083818,3924370.71744643
1597,063864010642,SAN YSIDRO HIGH,5353 AIRWAY RD.,SAN DIEGO,CA,92154,4806,(619) 710-2300,1,1,2525,SAN DIEGO,06073,USA,32.5656189600001,-117.018291692,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063864010642,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://www.sweetwaterschools.org,HIGH,2428,09,12,0638640,97,NOT AVAILABLE,-13026416.6446522,3837788.06636697
1680,063432005497,LAFAYETTE ELEMENTARY,6125 PRINTWOOD WAY,SAN DIEGO,CA,92117,3346,(858) 496-8160,1,1,254,SAN DIEGO,06073,USA,32.827188118,-117.169392358,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005497,10/13/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://new.sandi.net/schools/lafayette,ELEMENTARY,254,KG,06,0634320,-999,10814411,-13043237.0938498,3872388.47666317
