,OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,LEVEL,ENROLLMENT,ST_GRADE,END_GRADE,DISTRICTID,FT_TEACHER,SHELTER_ID,x,y
4,458,63432005557,SUNSET VIEW ELEMENTARY,4365 HILL ST.,SAN DIEGO,CA,92107,4199,(619) 223-7156,1,1,434,SAN DIEGO,6073,USA,32.723805579,-117.250857295,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005557,12/10/2009 12:00:00 AM,IMAGERY/OTHER,2/23/2016 12:00:00 AM,http://www.sunsetviewelementary.com,MIDDLE,416,KG,04,634320,18,10814520,-13052305.7291542,3858700.89439051
5,460,63432012534,IHIGH VIRTUAL ACADEMY,3939 CONDE ST.,SAN DIEGO,CA,92110,3012,(619) 764-5440,4,1,46,SAN DIEGO,6073,USA,32.7508325900001,-117.194697082,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432012534,9/30/2011 12:00:00 AM,IMAGERY/OTHER,9/30/2011 12:00:00 AM,http://www.sandi.net/ihigh,MIDDLE,39,09,12,634320,7,NOT AVAILABLE,-13046054.0028402,3862277.66661127
8,1597,63864010642,SAN YSIDRO HIGH,5353 AIRWAY RD.,SAN DIEGO,CA,92154,4806,(619) 710-2300,1,1,2525,SAN DIEGO,6073,USA,32.5656189600001,-117.018291692,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063864010642,1/29/2010 12:00:00 AM,IMAGERY,5/21/2010 12:00:00 AM,http://www.sweetwaterschools.org,HIGH,2428,09,12,638640,97,NOT AVAILABLE,-13026416.6446522,3837788.06636697
9,1680,63432005497,LAFAYETTE ELEMENTARY,6125 PRINTWOOD WAY,SAN DIEGO,CA,92117,3346,(858) 496-8160,1,1,254,SAN DIEGO,6073,USA,32.827188118,-117.169392358,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005497,10/13/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://new.sandi.net/schools/lafayette,ELEMENTARY,254,KG,06,634320,-999,10814411,-13043237.0938498,3872388.47666317
10,1786,63153010632,WESTVIEW HIGH,13500 CAMINO DEL SUR,SAN DIEGO,CA,92129,4465,(858) 780-2000,1,1,2485,SAN DIEGO,6073,USA,32.967093833,-117.148407746,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063153010632,1/29/2010 12:00:00 AM,IMAGERY,10/21/2011 12:00:00 AM,http://www.powayusd.com/pusdwvhs,ELEMENTARY,2395,09,12,631530,90,10820906,-13040901.0975275,3890937.03416611
12,1857,63432005497,LAFAYETTE ELEMENTARY,6125 PRINTWOOD WAY,SAN DIEGO,CA,92117,3346,(858) 987-5000,1,1,266,SAN DIEGO,6073,USA,32.827188118,-117.169392358,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005497,10/13/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://new.sandi.net/schools/lafayette,HIGH,254,KG,06,634320,12,10814411,-13043237.0938498,3872388.47666317
16,1861,63432005559,TIERRASANTA ELEMENTARY,5450 LA CUENTA DR.,SAN DIEGO,CA,92124,1417,(858) 496-8255,1,1,523,SAN DIEGO,6073,USA,32.829446036,-117.096817766,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432005559,12/10/2009 12:00:00 AM,IMAGERY,2/23/2016 12:00:00 AM,http://www.sandi.net/tierrasanta,ELEMENTARY,502,KG,05,634320,21,10814525,-13035158.1272239,3872687.59679721
18,2329,63438008307,CARMEL VALLEY MIDDLE,3800 MYKONOS LN.,SAN DIEGO,CA,92130,3572,(858) 481-8221,1,1,928,SAN DIEGO,6073,USA,32.946961285,-117.231788951,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063438008307,10/13/2009 12:00:00 AM,IMAGERY,10/21/2011 12:00:00 AM,http://sduhsd.net/cv,ELEMENTARY,894,07,08,634380,34,NOT AVAILABLE,-13050183.0508098,3888266.07529148
20,3146,63432007683,DANA,1775 CHATSWORTH BLVD.,SAN DIEGO,CA,92106,3709,(619) 225-3897,1,1,716,SAN DIEGO,6073,USA,32.7332729600001,-117.233837255,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063432007683,10/13/2009 12:00:00 AM,IMAGERY/OTHER,2/23/2016 12:00:00 AM,http://www.danamiddle.com,ELEMENTARY,685,05,06,634320,31,NOT AVAILABLE,-13050411.0669681,3859953.69032611
21,3152,69105212994,URBAN CORPS OF SAN DIEGO COUNTY CHARTER,3127 JEFFERSON ST.,SAN DIEGO,CA,92110,4422,(619) 235-6884,1,1,203,SAN DIEGO,6073,USA,32.755397443,-117.203318879,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=069105212994,2/4/2014 12:00:00 AM,IMAGERY/OTHER,5/19/2014 12:00:00 AM,http://www.urbancorpscharter.com,ELEMENTARY,191,09,12,691052,12,NOT AVAILABLE,-13047013.7768919,3862881.88933537
