stop_id,stop_name,stop_lat,stop_lon,Zipcode
10374,Gilman Dr & Myers Dr,32.876949,-117.235533,92093
10391,La Jolla Village Dr & Lebon Dr,32.870592,-117.223248,92122
10400,La Jolla Village Dr & Regents Rd,32.871465,-117.217861,92122
10772,Gilman Dr & Myers Dr,32.877183,-117.235829,92093
10793,La Jolla Village Dr & Regents Rd,32.871503,-117.218669,92037
11151,Nobel Dr & Lebon Dr,32.868525,-117.225289,92122
11538,N Torrey Pines Rd & Torrey Pines Scenic Dr,32.887475,-117.243837,92037
11539,N Torrey Pines Rd & Torrey Pines Golf Course,32.906751,-117.24399,92037
11541,N Torrey Pines Rd & Science Park Rd,32.901424,-117.242815,92037
11548,Gilman Dr & Eucalyptus Grove Ln,32.875781,-117.23921,92093
11875,N Torrey Pines Rd & Almahurst Row,32.880465,-117.244028,92037
11876,N Torrey Pines Rd & La Jolla Shores Dr,32.874901,-117.243796,92037
11877,N Torrey Pines Rd & Salk Institute Rd,32.885786,-117.243958,92037
11882,N Torrey Pines Rd & Scripps Clinic Drwy,32.894078,-117.24126,92037
11885,N Torrey Pines Rd & Genesee Av,32.891359,-117.241405,92037
11923,La Jolla Village Dr & Genesee Av,32.872645,-117.214513,92037
12310,N Torrey Pines Rd & La Jolla Shores Dr,32.874579,-117.243543,92093
12311,N Torrey Pines Rd & Torrey Pines Scenic Dr,32.886534,-117.243654,92093
12316,N Torrey Pines Rd & UCSD Northpoint Drwy,32.889558,-117.242483,92093
12320,Gilman Dr & Eucalyptus Grove Ln,32.875266,-117.238755,92093
12631,N Torrey Pines Rd & Muir College Dr,32.88135,-117.24369,92093
12634,N Torrey Pines Rd & Revelle College Dr,32.871606,-117.243423,92093
12639,N Torrey Pines Rd & Scripps Clinic Drwy,32.895275,-117.24111,92121
13024,Nobel Dr & La Jolla Village Square Drwy,32.867766,-117.231688,92037
13058,Nobel Dr & La Jolla Village Square Drwy,32.868011,-117.231658,92037
13141,N Torrey Pines Rd & John J Hopkins Dr,32.898471,-117.24182,92121
13171,Genesee Av & La Jolla Village Dr,32.872043,-117.214206,92122
20001,Broadway & Leslie Ln,33.148963,-117.090834,92026
20004,Brown St & Del Valle (Las Pulgas),33.350836,-117.411236,92055
20006,Access Rd & Px,33.222692,-117.395368,92055
20007,Vandegrift Bl & Ash Rd,33.231846,-117.389372,92055
20018,Division St & Grant St,33.196127,-117.370258,92054
20020,Division St & Country Club Ln,33.197026,-117.365342,92054
20024,Vandegrift Bl & Area 26,33.317869,-117.327032,92055
20025,Oceanside Bl & Industry St,33.197836,-117.350109,92054
20026,Bldg 22114 & 10th St,33.2943,-117.350633,92055
20027,Grand Av & Madison St,33.161625,-117.347768,92008
20030,Grand Av & Harding St,33.162834,-117.345663,92008
20032,Oceanside Bl & Camelot Dr,33.200654,-117.344325,92054
20038,Oceanside Blvd & Garrison St,33.201671,-117.336612,92054
20039,Mission Av & 3745 (Fireside St),33.223052,-117.334291,92058
20041,Mesa Dr & Garrison St,33.208641,-117.334341,92054
20045,Mission Av & El Camino Real,33.225368,-117.331348,92058
20047,Magnolia Av & Brady Cr (Jr High),33.15837,-117.330382,92008
20049,Sequoia & Angeles,33.347152,-117.322101,92058
20051,Carlsbad Village Dr & Santa Clara Way,33.170542,-117.316929,92010
20054,Carlsbad Village Dr & Victoria Av,33.166484,-117.305737,92010
20059,N River Rd & Redondo Dr,33.249539,-117.300802,92057
20061,Barnard Dr & Meadow Ln,33.186713,-117.297372,92056
20063,Encinitas Bl & I-5,33.04849,-117.289603,92024
20066,Santa Fe Dr & Summit Av,33.036132,-117.288374,92007
20067,Lake Bl & Thunder Dr,33.180104,-117.289004,92056
20068,Lake Bl & Del Cerro Av,33.178493,-117.283866,92056
20069,Santa Fe Dr & Santa Fe Plaza,33.03611,-117.283647,92007
20070,Sky Haven Ln & Lake Bl,33.177627,-117.280542,92056
20071,Encinitas Bl & Delphinium St,33.048643,-117.275794,92024
20075,W Vista Way & Hill Dr,33.192166,-117.271254,92083
20077,Encinitas Bl & Balour Dr,33.045188,-117.269256,92024
20081,Lomas Santa Fe Dr & Solana Hills Dr,32.995952,-117.259347,92075
20085,Los Angeles Dr & Georgia Ln,33.213122,-117.250904,92083
20088,Bobier Dr & N Santa Fe Av,33.221068,-117.246482,92083
20090,E Vista Way & Franklin Ln,33.207349,-117.235903,92084
20092,Williamston St & Vale Terrace Dr,33.209665,-117.229314,92084
20094,E Vista Way & Palomar Pl,33.2233,-117.225995,92084
20096,Arcadia Av & Oak Dr,33.224804,-117.222123,92084
20097,Poinsettia Av & Specialty Dr,33.140778,-117.219465,92081
20105,Mission Rd & Woodland Pkwy,33.140986,-117.137943,92069
20106,Mission Rd & Rancheros Dr,33.135833,-117.130105,92069
20109,El Norte Pkwy & Bennett Av,33.152741,-117.121914,92026
20110,El Norte Pkwy & Las Palmas Ln,33.149936,-117.117239,92026
20111,Mission Rd & Washington Av,33.12396,-117.105755,92029
20113,Country Club Ln & Eveningside Glen,33.15956,-117.095981,92026
20115,Valley Pkwy & Tulip St,33.117327,-117.094102,92025
20116,El Norte Pkwy & Las Villas Way,33.140738,-117.094707,92026
20121,Mission Av & Cedar St,33.134242,-117.074152,92025
20122,Washington Av & Date St,33.130396,-117.072584,92025
20123,Washington Av & Beech St,33.131846,-117.069958,92025
20127,Sunset Dr & Royal Crest Dr,33.095546,-117.062615,92025
20129,Hwy 78 & Citrus Av,33.108913,-117.04884,92025
20130,Valley Pkwy & Quarry Glen,33.138824,-117.048614,92027
20131,Hwy 78 & Summit Dr,33.106954,-117.044638,92025
20133,Valley Pkwy & Citrus Av (Vons),33.140212,-117.045562,92027
20134,Glenridge Rd & Mountain View Dr,33.12642,-117.044322,92027
20135,Valley Pkwy & Bear Valley Pkwy,33.143615,-117.038057,92027
20136,Valley Center Rd & Lilac Rd,33.222316,-117.036509,92082
20137,Valley Center Rd & Miller Rd,33.230823,-117.033388,92082
20138,Valley Center & Rock Hill Ranch Rd,33.228174,-117.006315,92082
20139,Hwy 78 & Old Milky Way,33.087836,-116.991716,92027
20140,Valley Center Rd & N Lake Wohlford Rd,33.228055,-116.976403,92082
20141,Valley Center Rd & Hwy 76,33.287359,-116.957588,92082
20142,Hwy 78 & Weekend Villa Rd,33.070031,-116.885581,92065
20155,Mission Av & Horne St,33.198369,-117.375219,92054
20157,Center Av & Horne St,33.195743,-117.373221,92054
20160,Oceanside Bl & Coast Hwy,33.183736,-117.368824,92054
20161,Mission Av & Brooks St,33.202004,-117.368325,92058
20162,Oceanside Blvd & Ditmar St,33.184833,-117.366999,92054
20164,Mission Av & Canyon Dr,33.204719,-117.363534,92054
20166,Mission Av & Carey Rd East,33.20729,-117.361223,92058
20167,Oceanside Blvd & Commerce St,33.191376,-117.360536,92054
20169,Vista Way & Coast Hwy,33.172241,-117.359108,92054
20170,Oceanside Blvd & State Tree Dr,33.192388,-117.35845,92054
20171,Mission Av & Mesa Dr,33.208643,-117.358703,92058
20176,Mission Av & Carolyn Cir,33.213448,-117.347994,92058
20177,E Av & 10th St,33.292766,-117.347938,92055
20178,Carlsbad Village Dr & Harding St,33.162493,-117.343551,92008
20180,Mission Av & Foussat Rd,33.217063,-117.3428,92058
20181,Vandegrift Bl & A St,33.304962,-117.342804,92055
20182,Chestnut Av & Harding St,33.15765,-117.34083,92008
20183,Mesa Dr & Wilcox St,33.209941,-117.341294,92054
20184,Mesa Dr & Sea Ridge Rd,33.211159,-117.340513,92054
20185,Mission Av & Copperwood Way,33.218799,-117.34034,92058
20186,Oceanside Bl & Foussat Rd,33.201653,-117.34013,92054
20189,Vista Way & Olson Way,33.183115,-117.336535,92054
20190,Marron Rd & Monroe St,33.17661,-117.336259,92008
20191,Mesa Dr & Mainsail Rd,33.210879,-117.33659,92054
20192,Carlsbad Village Dr & Valley St,33.167388,-117.335458,92008
20193,Tamarack Av & Pio Pico Dr,33.152761,-117.334873,92008
20194,Oceanside Blvd & El Camino Real E,33.201631,-117.330273,92056
20195,Vista Way & Via Esmarca,33.183108,-117.330868,92054
20196,Mesa Dr & Pear Tree Ln,33.208673,-117.331746,92056
20197,Mission Av & Plaza Real,33.226492,-117.329353,92058
20199,Vista Way & El Camino Real,33.182493,-117.325886,92056
20200,Mesa Dr & Pearwood Dr,33.210443,-117.326627,92056
20201,Marron Rd & El Camino Real,33.177764,-117.324718,92010
20202,Vista Way & Valley Glen Dr,33.182438,-117.32257,92056
20203,Sequoia & Angeles,33.347362,-117.322008,92058
20204,Mesa Dr & Vanilla Way,33.212414,-117.32136,92056
20206,Vista Way & Paseo De Laura,33.181151,-117.317269,92056
